,Title,BodyPart,Equipment,Level,url
483,Holman Boat Press with Leg Extension,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=fP6uMgfwqOA
484,Holman Shoulder Tap to Dirty Dog,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=d2FDOEEtp9Q
485,Holman Standing Russian Twist,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=tb_tSijK-jE
486,Holman Hovering Plank with Shoulder Tap,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=jgQ49dXfznk
487,Holman Elbow Plank to Stacked Plank Hip Drop,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=SOhVHAmR-hw
488,Holman Elbow Plank to Walk-Up Pike,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=slEBHff-810
489,Holman Hill Climber,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=gYbDEG8TJP0
490,Holman Straight Plank Pike to Renegade Row,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=IqKI4eZ1BoI
491,Holman Alternating Hip Drop to Push-Up,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=fKkCAsBg9Ng
492,Holman Crab Kick,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=d_57140plEE
493,Holman Wounded Bear Crawl,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=XRKdSIgpX_4
494,Holman Alternating Crab Reach,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=TKNHrwm7jwI
495,Holman Hovering Panther Core Stabilizer,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=kgrYJGpiS40
496,Holman Burpee to Forward Lunge,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=Aq-rQ9dVCmY
497,Holman Seated Knee Pull-In Series,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=Be4WTwG_lxU
498,Holman Elbow Plank Pike,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=N_BVrDwf2rY
499,Holman Elbow Plank Jack to Straight Plank Split Jack,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=xnpZmI-KjSM
500,Holman Boat Pull-Over,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=TRf66nblmxw
501,Holman Squat Pulse to Plyometric Jump,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=ZiplDwmvM0w
502,Holman Hands Down Heel Click,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=9wK3o8Axj2o
503,Holman Straight Plank to Kick-Up,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=avfLpABnzAA
504,Holman Hands-Elevated Split Jack,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=jmYeoEbdva0
505,Holman Feet-Elevated Plank Reach,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=ZtzkOX3nqtI
506,Holman Hand-Elevated Side Plank Semicircle,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=NnO-oVvOk3Q
507,Holman Hands-Elevated Straight Plank Pike,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=d_B55dng_bs
508,Holman Alternating Rolling Elbow Plank,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=qmw7-IFVZPo
509,Holman Elbow Plank Jack,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=ruU6dooUL_g
510,Holman Squat Thrust to Alternating Knee-In,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=LdEUAd2dFbY
511,Holman Supine Double Pike,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=zLdofF5ZOY8
512,Holman Elbow Plank Alternating Pike,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=Nkzuqb2n3hw
513,Holman Seated Killer Abs,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=ipS_j0UuYwM
514,Holman Side Plank Hip Drop,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=6y3tXuPE-eU
515,Holman Wide Hill Climber,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=9JI8dljwOWI
516,Holman Straight-Legged Bicycle,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=CxUCOJzfQm4
517,Holman Stair Toe Tap,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=VmSXAZvqfP4
518,Holman Elbow Plank Ninja,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=nibzsO4UBtk
519,Holman Traveling Stair Climb Push-Up,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=JunJAnCI7Vo
520,Holman Hands-Elevated Burpee,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=Z0eQ_eqnn2M
521,Holman Straight Plank Donkey Kick,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=2XlhJlPOcPU
522,Holman Feet-Elevated Straight Plank Pike Pull,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=G-2oFuWRgNI
523,Holman Towel Burpee,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=ZjC60mt6AWk
524,Holman Elbow Plank to Alternating Side Plank Crunch,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=YJYTgL3azkc
525,Holman Straight-Legged Hip Raise,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=gQob47IBlYQ
526,Holman Feet-Elevated Hill Climber,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=UrVlfQUwISs
527,Holman Ninja Knee Hill Climber,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=06YBscHRs6Q
528,Holman Feet-Elevated Shoulder Tap,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=_Jv8wBvoIiA
